date,return
12/1/1989,0.07629999999999999
1/1/1990,0.0764
2/1/1990,0.0774
3/1/1990,0.079
4/1/1990,0.07769999999999999
5/1/1990,0.0774
6/1/1990,0.07730000000000001
7/1/1990,0.0762
8/1/1990,0.0745
9/1/1990,0.0736
10/1/1990,0.0717
11/1/1990,0.0706
12/1/1990,0.0674
1/1/1991,0.0622
2/1/1991,0.0594
3/1/1991,0.0591
4/1/1991,0.0565
5/1/1991,0.0546
6/1/1991,0.0557
7/1/1991,0.0558
8/1/1991,0.0533
9/1/1991,0.052199999999999996
10/1/1991,0.0499
11/1/1991,0.045599999999999995
12/1/1991,0.0407
1/1/1992,0.038
2/1/1992,0.0384
3/1/1992,0.0404
4/1/1992,0.0375
5/1/1992,0.0363
6/1/1992,0.0366
7/1/1992,0.0321
8/1/1992,0.0313
9/1/1992,0.0291
10/1/1992,0.0286
11/1/1992,0.0313
12/1/1992,0.0322
1/1/1993,0.03
2/1/1993,0.029300000000000003
3/1/1993,0.029500000000000002
4/1/1993,0.0287
5/1/1993,0.0296
6/1/1993,0.030699999999999998
7/1/1993,0.0304
8/1/1993,0.0302
9/1/1993,0.029500000000000002
10/1/1993,0.0302
11/1/1993,0.031
12/1/1993,0.030600000000000002
1/1/1994,0.0298
2/1/1994,0.0325
3/1/1994,0.035
4/1/1994,0.0368
5/1/1994,0.0414
6/1/1994,0.0414
7/1/1994,0.0433
8/1/1994,0.044800000000000006
9/1/1994,0.0462
10/1/1994,0.0495
11/1/1994,0.0529
12/1/1994,0.055999999999999994
1/1/1995,0.0571
2/1/1995,0.057699999999999994
3/1/1995,0.057300000000000004
4/1/1995,0.0565
5/1/1995,0.0567
6/1/1995,0.0547
7/1/1995,0.0542
8/1/1995,0.054000000000000006
9/1/1995,0.0528
10/1/1995,0.0528
11/1/1995,0.0536
12/1/1995,0.051399999999999994
1/1/1996,0.05
2/1/1996,0.0483
3/1/1996,0.0496
4/1/1996,0.0495
5/1/1996,0.050199999999999995
6/1/1996,0.0509
7/1/1996,0.051500000000000004
8/1/1996,0.050499999999999996
9/1/1996,0.0509
10/1/1996,0.0499
11/1/1996,0.050300000000000004
12/1/1996,0.049100000000000005
1/1/1997,0.050300000000000004
2/1/1997,0.0501
3/1/1997,0.051399999999999994
4/1/1997,0.0516
5/1/1997,0.050499999999999996
6/1/1997,0.0493
7/1/1997,0.050499999999999996
8/1/1997,0.051399999999999994
9/1/1997,0.0495
10/1/1997,0.049699999999999994
11/1/1997,0.051399999999999994
12/1/1997,0.0516
1/1/1998,0.0504
2/1/1998,0.0509
3/1/1998,0.050300000000000004
4/1/1998,0.0495
5/1/1998,0.05
6/1/1998,0.049800000000000004
7/1/1998,0.0496
8/1/1998,0.049
9/1/1998,0.0461
10/1/1998,0.039599999999999996
11/1/1998,0.0441
12/1/1998,0.043899999999999995
1/1/1999,0.0434
2/1/1999,0.0444
3/1/1999,0.0444
4/1/1999,0.0429
5/1/1999,0.045
6/1/1999,0.045700000000000005
7/1/1999,0.0455
8/1/1999,0.0472
9/1/1999,0.046799999999999994
10/1/1999,0.048600000000000004
11/1/1999,0.0507
12/1/1999,0.052000000000000005
1/1/2000,0.053200000000000004
2/1/2000,0.0555
3/1/2000,0.056900000000000006
4/1/2000,0.056600000000000004
5/1/2000,0.0579
